FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,GHGAS_CAS_REGISTRY_NUMBER,GHGASNAME,GHGAS_LINEAR_CHEMICAL_FORMULA,GHGASQUANTITY,OTHERGHGASNAME,OTHER_GHGAS_CAS_REGISTRY_NUM,OTHER_GHGAS_LINEAR_CHEMFORM,GROUP_OF_FLUORINATED_GHG
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,10024-97-2,Nitrous Oxide,,3.537,,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,1093615-61-2,Other,,1.4845,FC-770 (Perfluoro N-alkyl morpholines),,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,115-25-3,Perfluorocyclobutane,,0.0092,,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,163702-05-4 + 163702-06-5,Other,,0.6898,HFE-569sf2 (HFE-7200) (C4F9OC2H5 + (CF3)2CHCH2OC2H5),,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,2551-62-4,Sulfur hexafluoride,,0.0348,,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,593-53-3,HFC-41,,0.0068,,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,685-63-2,Other,,0.0008,"1,3-Hexafluorobutadiene",,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,69991-67-9 (d),Other,,0.2767,HT-110,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,75-46-7,HFC-23,,0.2711,,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,75-73-0,PFC-14 (Perfluoromethane),,2.9944,,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,76-16-4,PFC-116 (Perfluoroethane),,6.5197,,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,7783-54-2,Nitrogen trifluoride,,0.1397,,,,
1000354,2011,SKYWATER TECHNOLOGY FOUNDRY INC,811-97-2,HFC-134a,,0.0138,,,,
1001199,2011,Eastman Kodak - Kodak Park,10024-97-2,Nitrous Oxide,,0.0,,,,
1001199,2011,Eastman Kodak - Kodak Park,115-25-3,Perfluorocyclobutane,,0.0404,,,,
1001199,2011,Eastman Kodak - Kodak Park,2551-62-4,Sulfur hexafluoride,,0.0463,,,,
1001199,2011,Eastman Kodak - Kodak Park,75-46-7,HFC-23,,0.0122,,,,
1001199,2011,Eastman Kodak - Kodak Park,75-73-0,PFC-14 (Perfluoromethane),,0.7583,,,,
1001199,2011,Eastman Kodak - Kodak Park,76-16-4,PFC-116 (Perfluoroethane),,0.0823,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,10024-97-2,Nitrous Oxide,,46.477,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,1093615-61-2,Other,,2.4919,FC-770 (Perfluoro N-alkyl morpholines),,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,115-25-3,Perfluorocyclobutane,,0.9751,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,138495-42-8,HFC-43-10mee,,0.0612,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,163702–05–4,Other,,4.0148,HFE-7200,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,2551-62-4,Sulfur hexafluoride,,0.5597,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,297730-93-9,Other,,0.3103,HFE-7500,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,354-33-6,HFC-125,,0.0501,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,406-58-6,HFC-365mfc,,0.0612,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,420-46-2,HFC-143a,,0.0584,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,559-40-0,Other,,0.0629,Difluoromethane,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,593-53-3,HFC-41,,0.0218,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,69991-67-9 (a),Other,,0.0073,HT-55,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,69991-67-9 (b),Other,,0.076,HT-70,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,69991-67-9 (h),Other,,0.8905,HT-200,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,75-10-5,HFC-32,,0.0008,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,75-46-7,HFC-23,,0.6091,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,75-73-0,PFC-14 (Perfluoromethane),,8.1827,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,76-16-4,PFC-116 (Perfluoroethane),,16.3608,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,7783-54-2,Nitrogen trifluoride,,0.9958,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,811-97-2,HFC-134a,,0.4665,,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,86508-42-1,Other,,1.3304,FC-40 FLUORINERT,,,
1003726,2011,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,,Other,,1.2042,HFE-7100,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",10024-97-2,Nitrous Oxide,,6.808,,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",115-25-3,Perfluorocyclobutane,,0.0321,,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",2551-62-4,Sulfur hexafluoride,,0.1255,,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",75-46-7,HFC-23,,0.0293,,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",75-73-0,PFC-14 (Perfluoromethane),,0.9168,,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",76-16-4,PFC-116 (Perfluoroethane),,1.8032,,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",76-19-7,PFC-218 (Perfluoropropane),,0.078,,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",7783-54-2,Nitrogen trifluoride,,0.0264,,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",86508-42-1,Other,,0.005,FC-40,,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",86508-42-1 (a),Other,,0.02,FC-84 (Perfluoro-n-hexane),,,
1003759,2011,"Analog Devices, Inc./ Wilmington Manufacturing",,Other,,0.0057,HFE-7100,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,10024-97-2,Nitrous Oxide,,49.498,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,115-25-3,Perfluorocyclobutane,,0.5312,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,161075-02-1,Other,,0.0067,Galden ZT-85,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,161075-02-1,Other,,1.9113,Galden ZT-85,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,163702–05–4,Other,,0.12,HFE-7200,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,2551-62-4,Sulfur hexafluoride,,1.5631,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,297730-93-9,Other,,0.04,HFE-7500,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,382-28-5,Other,,0.08,FC-3284 (Perfluoro-n-methylmorpholine),,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,559-40-0,Other,,0.2632,Octafluorocyclopentene,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,593-53-3,HFC-41,,0.0296,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,69991-67-9,Other,,0.3368,Solvay Fomblin 14/6,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,69991-67-9 (b),Other,,0.406,HT-70,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,69991-67-9 (d),Other,,0.3827,HT-110,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,69991-67-9 (e),Other,,0.1041,HT-135,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,69991-67-9 (g),Other,,0.6149,DO2-TS,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,69991-67-9 (h),Other,,3.0615,HT-200,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,75-10-5,HFC-32,,0.0047,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,75-46-7,HFC-23,,0.5962,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,75-73-0,PFC-14 (Perfluoromethane),,20.5334,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,76-16-4,PFC-116 (Perfluoroethane),,20.3825,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,76-19-7,PFC-218 (Perfluoropropane),,4.7807,,,,
1003945,2011,TEXAS INSTRUMENTS NORTH CAMPUS,7783-54-2,Nitrogen trifluoride,,3.3381,,,,
