FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,GHGAS_LINEAR_CHEMICAL_FORMULA,GHGAS_CAS_REGISTRY_NUMBER,GHG_QUANTITY,OTHER_GAS_GHG_GROUP,GHG_NAME,OTHER_GREENHOUSE_GAS_NAME
1000635,2011,ALCOA WENATCHEE LLC,,,0.83,,PFC–116 (Perfluoroethane),
1000635,2011,ALCOA WENATCHEE LLC,,,6.46,,PFC–14 (Perfluoromethane),
1000635,2011,ALCOA WENATCHEE LLC,,,221317.0,,Carbon Dioxide,
1001877,2011,ALCOA INC - WARRICK OPERATIONS,,,0.03,,PFC-116 (Perfluoroethane),
1001877,2011,ALCOA INC - WARRICK OPERATIONS,,,15.73,,PFC-14 (Perfluoromethane),
1001877,2011,ALCOA INC - WARRICK OPERATIONS,,,428684.0,,Carbon Dioxide,
1002112,2011,"Century Aluminum of South Carolina, Inc.",,,0.6876,,PFC–116 (Perfluoroethane),
1002112,2011,"Century Aluminum of South Carolina, Inc.",,,7.2679,,PFC–14 (Perfluoromethane),
1002112,2011,"Century Aluminum of South Carolina, Inc.",,,356496.2,,Carbon Dioxide,
1002483,2011,ARCONIC INC MASSENA OPERATIONS,,,0.37,,PFC-116 (Perfluoroethane),
1002483,2011,ARCONIC INC MASSENA OPERATIONS,,,2.7,,PFC-14 (Perfluoromethane),
1002483,2011,ARCONIC INC MASSENA OPERATIONS,,,206747.0,,Carbon Dioxide,
1002485,2011,REYNOLDS METALS ST LAWRENCE REDUCTION PL,,,2.9,,PFC-116 (Perfluoroethane),
1002485,2011,REYNOLDS METALS ST LAWRENCE REDUCTION PL,,,57.1,,PFC-14 (Perfluoromethane),
1002485,2011,REYNOLDS METALS ST LAWRENCE REDUCTION PL,,,172127.0,,Carbon Dioxide,
1003562,2011,ALCOA INTALCO WORKS,,,24.6,,PFC-116 (Perfluoroethane),
1003562,2011,ALCOA INTALCO WORKS,,,57.0,,PFC-14 (Perfluoromethane),
1003562,2011,ALCOA INTALCO WORKS,,,331931.0,,Carbon Dioxide,
1003843,2011,ORMET PRIMARY ALUMINUM CORP,,,9.1,,PFC–116 (Perfluoroethane),
1003843,2011,ORMET PRIMARY ALUMINUM CORP,,,56.8,,PFC–14 (Perfluoromethane),
1003843,2011,ORMET PRIMARY ALUMINUM CORP,,,419456.0,,Carbon Dioxide,
1004735,2011,"COLUMBIA FALLS ALUMINUM COMPANY, LLC",,,0.0,,Carbon Dioxide,
1004735,2011,"COLUMBIA FALLS ALUMINUM COMPANY, LLC",,,0.0,,PFC-116 (Perfluoroethane),
1004735,2011,"COLUMBIA FALLS ALUMINUM COMPANY, LLC",,,0.0,,PFC-14 (Perfluoromethane),
1005534,2011,Noranda Aluminum,,,1.541,,PFC-116 (Perfluoroethane),
1005534,2011,Noranda Aluminum,,,16.345,,PFC-14 (Perfluoromethane),
1005534,2011,Noranda Aluminum,,,455804.0,,Carbon Dioxide,
1006666,2011,Century Aluminum Sebree LLC,,,1.35,,PFC–116 (Perfluoroethane),
1006666,2011,Century Aluminum Sebree LLC,,,32.11,,PFC–14 (Perfluoromethane),
1006666,2011,Century Aluminum Sebree LLC,,,328593.9,,Carbon Dioxide,
1006853,2011,CENTURY ALUMINUM OF KENTUCKY,,,24.8161,,PFC–116 (Perfluoroethane),
1006853,2011,CENTURY ALUMINUM OF KENTUCKY,,,107.4345,,PFC–14 (Perfluoromethane),
1006853,2011,CENTURY ALUMINUM OF KENTUCKY,,,370775.4,,Carbon Dioxide,
