FACILITY_NAME,FACILITY_ID,REPORTING_YEAR,INDUSTRY_SEGMENT,BASIN_ASSOCIATED_WITH_FACILITY,REPORTING_CATEGORY,TOTAL_REPORTED_CO2_EMISSIONS,TOTAL_REPORTED_CH4_EMISSIONS,TOTAL_REPORTED_N2O_EMISSIONS,BAMM_INDICATOR_SOURCE_SUMMARY,BAMM_DESC_SOURCE_SUMMARY
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,AcidGasRemovalUnitsDetails,0.0,0.0,0.0,No,
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,AssociatedGasVentingFlaringDetails,0.0,0.0,0.0,No,
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,AtmosphericTanksDetails,16.2,23.280952,0.0,Yes,"Assume all separators are at well pads.  Assume all tanks are at well pads.  Assume no emission controls.  Estimated time dump valve was not closing properly based on pumper's knowledge.  Estimated separator pressure based on limited field survey.  Assumed ambient temperature and pressure.  January 1, 2011 to December 31, 2011."
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,CentrifugalCompressorsDetails,0.0,0.0,0.0,No,
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,CombustionEmissionsDetails,20217.6,23.833332,0.0387097315,Yes,"Assumed if oil well, natural-gas fired equipment burns pipeline gas.  Assumed if gas well, natural gas-fired equipment burns field gas.  Used average heat ratings where information was not available.  Estimated actual temperature and pressure.  Estimated number of workovers and completions based on best available records.  January 1, 2011 to December 31, 2011."
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,DehydratorsDetails,1.4,11.276192,0.0,No,
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,EnhancedOilRecoveryHydrocarbonLiquidsDissolvedDetails,0.0,0.0,0.0,No,
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,EnhancedOilRecoveryInjectionPumpBlowdownDetails,0.0,0.0,0.0,,
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,FlareStacksDetails,0.0,0.0,0.0,No,
220 Gulf Coast,1009263,2011,Onshore petroleum and natural gas production [98.230(a)(2)], ,NaturalGasDrivenPneumaticPumpsDetails,0.0,0.0,0.0,No,
