FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,GHG_NAME,GHG_QUANTITY
1000084,2011,SEMINOLE (136),BIOGENIC CARBON DIOXIDE,0.0
1000084,2011,SEMINOLE (136),CARBON DIOXIDE,0.0
1000084,2011,SEMINOLE (136),METHANE,298.04
1000084,2011,SEMINOLE (136),NITROUS OXIDE,0.0
1000093,2011,MOMENTIVE PERFORMANCE MATERIALS,BIOGENIC CARBON DIOXIDE,0.0
1000093,2011,MOMENTIVE PERFORMANCE MATERIALS,CARBON DIOXIDE,0.0
1000093,2011,MOMENTIVE PERFORMANCE MATERIALS,METHANE,57.64
1000093,2011,MOMENTIVE PERFORMANCE MATERIALS,NITROUS OXIDE,0.0
1000159,2011,US STEEL (FAIRFIELD WORKS),BIOGENIC CARBON DIOXIDE,0.0
1000159,2011,US STEEL (FAIRFIELD WORKS),CARBON DIOXIDE,0.0
1000159,2011,US STEEL (FAIRFIELD WORKS),METHANE,2453.15
1000159,2011,US STEEL (FAIRFIELD WORKS),NITROUS OXIDE,0.0
1000166,2011,KAPSTONE PAPER AND PACKAGING CORP,BIOGENIC CARBON DIOXIDE,0.0
1000166,2011,KAPSTONE PAPER AND PACKAGING CORP,CARBON DIOXIDE,0.0
1000166,2011,KAPSTONE PAPER AND PACKAGING CORP,METHANE,1097.73
1000166,2011,KAPSTONE PAPER AND PACKAGING CORP,NITROUS OXIDE,0.0
1000228,2011,INTERNATIONAL PAPER - NEW BERN MILL,BIOGENIC CARBON DIOXIDE,0.0
1000228,2011,INTERNATIONAL PAPER - NEW BERN MILL,CARBON DIOXIDE,0.0
1000228,2011,INTERNATIONAL PAPER - NEW BERN MILL,METHANE,674.37
1000228,2011,INTERNATIONAL PAPER - NEW BERN MILL,NITROUS OXIDE,0.0
1000229,2011,DOMTAR PAPER COMPANY LLC - PLYMOUTH,BIOGENIC CARBON DIOXIDE,0.0
1000229,2011,DOMTAR PAPER COMPANY LLC - PLYMOUTH,CARBON DIOXIDE,0.0
1000229,2011,DOMTAR PAPER COMPANY LLC - PLYMOUTH,METHANE,1205.05
1000229,2011,DOMTAR PAPER COMPANY LLC - PLYMOUTH,NITROUS OXIDE,0.0
1000230,2011,BLUE RIDGE PAPER PRODUCTS INC.,BIOGENIC CARBON DIOXIDE,0.0
1000230,2011,BLUE RIDGE PAPER PRODUCTS INC.,CARBON DIOXIDE,0.0
1000230,2011,BLUE RIDGE PAPER PRODUCTS INC.,METHANE,2873.57
1000230,2011,BLUE RIDGE PAPER PRODUCTS INC.,NITROUS OXIDE,0.0
1000232,2011,EASTMAN CHEMICAL COMPANY,BIOGENIC CARBON DIOXIDE,0.0
1000232,2011,EASTMAN CHEMICAL COMPANY,CARBON DIOXIDE,0.0
1000232,2011,EASTMAN CHEMICAL COMPANY,METHANE,9046.5
1000232,2011,EASTMAN CHEMICAL COMPANY,NITROUS OXIDE,0.0
1000240,2011,"SP FIBER TECHNOLOGIES SOUTHEAST, LLC",BIOGENIC CARBON DIOXIDE,0.0
1000240,2011,"SP FIBER TECHNOLOGIES SOUTHEAST, LLC",METHANE,113.3
1000240,2011,"SP FIBER TECHNOLOGIES SOUTHEAST, LLC",NITROUS OXIDE,0.0
1000256,2011,"WESTROCK VIRGINIA, COVINGTON",BIOGENIC CARBON DIOXIDE,0.0
1000256,2011,"WESTROCK VIRGINIA, COVINGTON",CARBON DIOXIDE,0.0
1000256,2011,"WESTROCK VIRGINIA, COVINGTON",METHANE,10044.78
1000256,2011,"WESTROCK VIRGINIA, COVINGTON",NITROUS OXIDE,0.0
1000262,2011,"WESTROCK COATED BOARD, LLC",BIOGENIC CARBON DIOXIDE,0.0
1000262,2011,"WESTROCK COATED BOARD, LLC",CARBON DIOXIDE,0.0
1000262,2011,"WESTROCK COATED BOARD, LLC",METHANE,4331.08
1000262,2011,"WESTROCK COATED BOARD, LLC",NITROUS OXIDE,0.0
1000273,2011,"GP BIG ISLAND, LLC",BIOGENIC CARBON DIOXIDE,0.0
1000273,2011,"GP BIG ISLAND, LLC",CARBON DIOXIDE,0.0
1000273,2011,"GP BIG ISLAND, LLC",METHANE,2029.49
1000273,2011,"GP BIG ISLAND, LLC",NITROUS OXIDE,0.0
