FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,FlowChemIdentifier
Carbon Dioxide,air,96989900.0,kg,-3.923807530474823,GHGRP,2017,110061841976.0,GREIF RIVERVILLE LLC,861 Fibre Plant Road,Riverville,VA,24553.0,37.509849,-78.910831,AMHERST COUNTY,322110,,1003943,18923-20-1
Methane,air,1138920.0,kg,4.956432409651248,GHGRP,2017,110061841976.0,GREIF RIVERVILLE LLC,861 Fibre Plant Road,Riverville,VA,24553.0,37.509849,-78.910831,AMHERST COUNTY,322110,,1003943,74-82-8
Nitrous Oxide,air,7765.0,kg,2.089246619446233,GHGRP,2017,110061841976.0,GREIF RIVERVILLE LLC,861 Fibre Plant Road,Riverville,VA,24553.0,37.509849,-78.910831,AMHERST COUNTY,322110,,1003943,126386-65-0
Carbon Dioxide,air,414447100.0,kg,-0.3288400377273722,GHGRP,2017,110070835056.0,GEORGIA-PACIFIC Crossett Paper Operations,100 MILL SUPPLY ROAD,CROSSETT,AR,71635.0,33.13607,-91.96705,ASHLEY COUNTY,322110,,1007214,18923-20-1
Methane,air,7151380.0,kg,4.98543917397761,GHGRP,2017,110070835056.0,GEORGIA-PACIFIC Crossett Paper Operations,100 MILL SUPPLY ROAD,CROSSETT,AR,71635.0,33.13607,-91.96705,ASHLEY COUNTY,322110,,1007214,74-82-8
Nitrous Oxide,air,18501.0,kg,2.653640343765202,GHGRP,2017,110070835056.0,GEORGIA-PACIFIC Crossett Paper Operations,100 MILL SUPPLY ROAD,CROSSETT,AR,71635.0,33.13607,-91.96705,ASHLEY COUNTY,322110,,1007214,126386-65-0
Carbon Dioxide,air,56946100.0,kg,-3.982146275161951,GHGRP,2017,110000422392.0,"PARK FALLS INDUSTRIAL MANAGEMENT, LLC",200 1ST AVE N,PARK FALLS,WI,54552.0,45.93657,-90.44776,PRICE COUNTY,322110,,1007644,18923-20-1
Methane,air,14640.0,kg,2.137295081967213,GHGRP,2017,110000422392.0,"PARK FALLS INDUSTRIAL MANAGEMENT, LLC",200 1ST AVE N,PARK FALLS,WI,54552.0,45.93657,-90.44776,PRICE COUNTY,322110,,1007644,74-82-8
Nitrous Oxide,air,6155.0,kg,2.0326563769293258,GHGRP,2017,110000422392.0,"PARK FALLS INDUSTRIAL MANAGEMENT, LLC",200 1ST AVE N,PARK FALLS,WI,54552.0,45.93657,-90.44776,PRICE COUNTY,322110,,1007644,126386-65-0
"2,4-Dinitrophenol",air,0.27686643235482,kg,2.0,NEI,2017,110000589612.0,GP Cellulose Alabama River Cellulose LLC,2373 Lena Landegger HWY,Perdue Hill,AL,36470,31.580112,-87.490073,Monroe,322121,,1019211,51-28-5
2-Methylnaphthalene,air,0.031441571592816,kg,2.0,NEI,2017,110000589612.0,GP Cellulose Alabama River Cellulose LLC,2373 Lena Landegger HWY,Perdue Hill,AL,36470,31.580112,-87.490073,Monroe,322121,,1019211,7419-61-6
4-Nitrophenol,air,0.168756682578176,kg,2.0,NEI,2017,110000589612.0,GP Cellulose Alabama River Cellulose LLC,2373 Lena Landegger HWY,Perdue Hill,AL,36470,31.580112,-87.490073,Monroe,322121,,1019211,100-02-7
