Facility Id,FRS Id,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Unit Name,General Fuel Type,Specific Fuel Type,Other Fuel Name,Blend Fuel Name,Fuel Methane (CH4) emissions (mt CO2e),Fuel Nitrous Oxide (N2O) emissions (mt CO2e),FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,UrbanRural
1006080,110027360399.0,322110,C,Pulp and Paper,CP-1,Natural Gas,Natural Gas (Weighted U.S. Average),,,12.75,15.198,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,CP-2,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.0,0.0,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,GP-1,Petroleum Products,Distillate Fuel Oil No. 2,,,0.0,0.0,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,CP-1,Natural Gas,Natural Gas (Weighted U.S. Average),,,12.25,14.602,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,CP-1,Natural Gas,Natural Gas (Weighted U.S. Average),,,14.75,17.582,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,GP-1,Petroleum Products,Distillate Fuel Oil No. 2,,,0.75,1.788,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,CP-1,Natural Gas,Natural Gas (Weighted U.S. Average),,,13.75,16.39,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,GP-1,Petroleum Products,Distillate Fuel Oil No. 2,,,0.75,2.086,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,CP-1,Natural Gas,Natural Gas (Weighted U.S. Average),,,13.5,16.092,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
1006080,110027360399.0,322110,C,Pulp and Paper,GP-1,Petroleum Products,Distillate Fuel Oil No. 2,,,0.25,0.596,1006080,ADM SOUTHERN CELLULOSE PROD.IN,103 W 45TH ST,CHATTANOOGA,TN,37410.0,34.997921,-85.318581,HAMILTON COUNTY,322110,,
