GHGAS_LINEAR_CHEMICAL_FORMULA,FACILITY_ID,OTHER_GHGAS_LINEAR_CHEMFORM,GROUP_OF_FLUORINATED_GHG,OTHER_GHGAS_CAS_REGISTRY_NUM,OTHERGHGASNAME,GHGASNAME,REPORTING_YEAR,FACILITY_NAME,GHGASQUANTITY,GHGAS_CAS_REGISTRY_NUMBER
blend,1003997,,,,,FC-77 (Blend - Perfluoro-2-butyltetrahydrofuran + C8F18),2017,INTEL CORPORATION - RIO RANCHO FACILITY,0.004,"335-36-4, 307-34-6"
blend,1004300,,,,,HFE-72DA,2017,Onsemi East Fishkill Facility,0.0696,"156-60-5, 163702-05-4, 163702-06-5"
blend,1008930,,,,,FC-77 (Blend - Perfluoro-2-butyltetrahydrofuran + C8F18),2017,LA Semiconductor,0.8306,"335-36-4, 307-34-6"
blend,1010241,,,,,"HFE-72DA (1,2-Trans-dichloroethylene + Ethyl nonafluorobutyl ether + Ethyl nonafluoroisobutyl ether + Methyl nonafluorobutyl ether + Methyl nonafluoroisobutyl ether + Isopropyl alcohol)",2017,Honeywell Aerospace - Plymouth,0.5572,"156-60-5, 163702-05-4, 163702-06-5, 163702-07-6, 163702-08-7, 67-63-0"
C2F6,1000354,,,,,PFC-116 (Perfluoroethane),2017,SKYWATER TECHNOLOGY INC,4.4276,76-16-4
C2F6,1003726,,,,,PFC-116 (Perfluoroethane),2017,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,4.7051,76-16-4
C2F6,1003759,,,,,PFC-116 (Perfluoroethane),2017,"Analog Devices, Inc./ Wilmington Manufacturing",1.3446,76-16-4
C2F6,1003945,,,,,PFC-116 (Perfluoroethane),2017,TEXAS INSTRUMENTS NORTH CAMPUS,21.2587,76-16-4
C2F6,1003997,,,,,PFC-116 (Perfluoroethane),2017,INTEL CORPORATION - RIO RANCHO FACILITY,0.272,76-16-4
C2F6,1004006,,,,,PFC-116 (Perfluoroethane),2017,INTEL CORPORATION RONLER ACRES CAMPUS,1.27,76-16-4
C2F6,1004300,,,,,PFC-116 (Perfluoroethane),2017,Onsemi East Fishkill Facility,0.019,76-16-4
C2F6,1004325,,,,,PFC-116 (Perfluoroethane),2017,"MICRON TECHNOLOGY, INC.",0.0158,76-16-4
C2F6,1004371,,,,,PFC-116 (Perfluoroethane),2017,INTEL CORPORATION - Ocotillo Campus,1.437,76-16-4
C2F6,1004746,,,,,PFC-116 (Perfluoroethane),2017,ANALOG DEVICES,0.8782,76-16-4
C2F6,1004883,,,,,PFC-116 (Perfluoroethane),2017,MICROCHIP TECHNOLOGY INC,0.671,76-16-4
C2F6,1005759,,,,,PFC-116 (Perfluoroethane),2017,"Wolfspeed, Inc",0.2296,76-16-4
C2F6,1007527,,,,,PFC-116 (Perfluoroethane),2017,ON Semiconductor,3.435,76-16-4
C2F6,1008059,,,,,PFC-116 (Perfluoroethane),2017,Texas Instruments Richardson,0.4279,76-16-4
C2F6,1008262,,,,,PFC-116 (Perfluoroethane),2017,"Jireh Semiconductor, Inc.",2.533,76-16-4
C2F6,1008734,,,,,PFC-116 (Perfluoroethane),2017,Avago Technologies,1.6063,76-16-4
C2F6,1008768,,,,,PFC-116 (Perfluoroethane),2017,Microchip Technology Inc.,2.3864,76-16-4
C2F6,1008930,,,,,PFC-116 (Perfluoroethane),2017,LA Semiconductor,0.1174,76-16-4
C2F6,1009361,,,,,PFC-116 (Perfluoroethane),2017,WaferTech LLC,0.4899,76-16-4
C2F6,1009556,,,,,PFC-116 (Perfluoroethane),2017,Texas Instruments- Lehi Fab,2.1201,76-16-4
C2F6,1009580,,,,,PFC-116 (Perfluoroethane),2017,Fairchild Semiconductor,0.1,76-16-4
C2F6,1009581,,,,,PFC-116 (Perfluoroethane),2017,Diodes US Manufacturing Incorporated,0.1092,76-16-4
C2F6,1009606,,,,,PFC-116 (Perfluoroethane),2017,INTEL CORPORATION ALOHA CAMPUS,0.04,76-16-4
C2F6,1009735,,,,,PFC-116 (Perfluoroethane),2017,"Skyworks Solutions, Inc.",2.0654,76-16-4
C2F6,1009738,,,,,PFC-116 (Perfluoroethane),2017,X-FAB Texas Inc.,3.698,76-16-4
C2F6,1009792,,,,,PFC-116 (Perfluoroethane),2017,Microchip Technology,12.368,76-16-4
C2F6,1009805,,,,,PFC-116 (Perfluoroethane),2017,"Micron Technology, Inc.",1.775,76-16-4
C2F6,1009807,,,,,PFC-116 (Perfluoroethane),2017,Polar Semiconductor LLC,0.5887,76-16-4
C2F6,1009872,,,,,PFC-116 (Perfluoroethane),2017,Samsung Austin Semiconductor,4.1419,76-16-4
C2F6,1009928,,,,,PFC-116 (Perfluoroethane),2017,TSI SEMICONDUCTORS LLC,0.791,76-16-4
C2F6,1009951,,,,,PFC-116 (Perfluoroethane),2017,Infineon Technologies Americas Corp,0.9106,76-16-4
C2F6,1009982,,,,,PFC-116 (Perfluoroethane),2017,Analog Devices Inc,0.5727,76-16-4
C2F6,1010005,,,,,PFC-116 (Perfluoroethane),2017,Tower Semiconductor,0.3613,76-16-4
C2F6,1010033,,,,,PFC-116 (Perfluoroethane),2017,QORVO,0.0119,76-16-4
C2F6,1010066,,,,,PFC-116 (Perfluoroethane),2017,NXP Semiconductors - EB site,0.396,76-16-4
C2F6,1010067,,,,,PFC-116 (Perfluoroethane),2017,NXP Semiconductors - OH site,3.0804,76-16-4
C2F6,1010083,,,,,PFC-116 (Perfluoroethane),2017,NXP Semiconductors Chandler Site,2.264,76-16-4
C2F6,1010134,,,,,PFC-116 (Perfluoroethane),2017,Texas Instruments - Sherman,2.694,76-16-4
C2F6,1010139,,,,,PFC-116 (Perfluoroethane),2017,Newport Fab LLC (dba TowerJazz),1.0043,76-16-4
C2F6,1010141,,,,,PFC-116 (Perfluoroethane),2017,Cypress Semiconductor,0.247,76-16-4
C2F6,1010208,,,,,PFC-116 (Perfluoroethane),2017,Texas Instruments Incorporated - Maine Fab,3.2364,76-16-4
C2F6,1010241,,,,,PFC-116 (Perfluoroethane),2017,Honeywell Aerospace - Plymouth,0.099,76-16-4
C2F6,1010254,,,,,PFC-116 (Perfluoroethane),2017,"Qorvo US, Inc.",2.5566,76-16-4
C2F6,1010579,,,,,PFC-116 (Perfluoroethane),2017,General Motors Components Holdings LLC,0.2322,76-16-4
C2F6,1010586,,,,,PFC-116 (Perfluoroethane),2017,GLOBALFOUNDRIES U.S. Inc. Fab 8,0.0546,76-16-4
C2F6,1011813,,,,,PFC-116 (Perfluoroethane),2017,Qorvo Texas LLC,1.458,76-16-4
C2F6,1011826,,,,,PFC-116 (Perfluoroethane),2017,"Diodes Fabtech, Inc",0.0001,76-16-4
C2F6,1011887,,,,,PFC-116 (Perfluoroethane),2017,Renesas Electronics America Inc.,0.0231,76-16-4
C2F6,1012448,,,,,PFC-116 (Perfluoroethane),2017,Wolfspeed RTP,0.7503,76-16-4
C2F6,1012992,,,,,PFC-116 (Perfluoroethane),2017,Aptina LLC,0.001,76-16-4
C2H3F3,1004325,,,,,HFC-143a,2017,"MICRON TECHNOLOGY, INC.",0.0425,420-46-2
C2H3F3,1009738,,,,,HFC-143a,2017,X-FAB Texas Inc.,0.0048,420-46-2
C2H3F3,1009872,,,,,HFC-143a,2017,Samsung Austin Semiconductor,0.135,420-46-2
C2HF5,1004325,,,,,HFC-125,2017,"MICRON TECHNOLOGY, INC.",0.0813,354-33-6
C2HF5,1009738,,,,,HFC-125,2017,X-FAB Texas Inc.,0.0053,354-33-6
C2HF5,1009872,,,,,HFC-125,2017,Samsung Austin Semiconductor,0.1209,354-33-6
C3F8,1003945,,,,,PFC-218 (Perfluoropropane),2017,TEXAS INSTRUMENTS NORTH CAMPUS,4.3285,76-19-7
C3F8,1004300,,,,,PFC-218 (Perfluoropropane),2017,Onsemi East Fishkill Facility,0.0,76-19-7
C3F8,1004371,,,,,PFC-218 (Perfluoropropane),2017,INTEL CORPORATION - Ocotillo Campus,0.0,76-19-7
C3F8,1004883,,,,,PFC-218 (Perfluoropropane),2017,MICROCHIP TECHNOLOGY INC,0.78,76-19-7
C3F8,1008059,,,,,PFC-218 (Perfluoropropane),2017,Texas Instruments Richardson,0.0001,76-19-7
C3F8,1008768,,,,,PFC-218 (Perfluoropropane),2017,Microchip Technology Inc.,0.5854,76-19-7
C3F8,1009361,,,,,PFC-218 (Perfluoropropane),2017,WaferTech LLC,0.1953,76-19-7
C3F8,1009807,,,,,PFC-218 (Perfluoropropane),2017,Polar Semiconductor LLC,2.1836,76-19-7
C3F8,1009928,,,,,PFC-218 (Perfluoropropane),2017,TSI SEMICONDUCTORS LLC,0.68,76-19-7
C3F8,1010134,,,,,PFC-218 (Perfluoropropane),2017,Texas Instruments - Sherman,1.018,76-19-7
C3F8,1010139,,,,,PFC-218 (Perfluoropropane),2017,Newport Fab LLC (dba TowerJazz),1.2135,76-19-7
C3F8,1010241,,,,,PFC-218 (Perfluoropropane),2017,Honeywell Aerospace - Plymouth,0.0933,76-19-7
C3F8,1010579,,,,,PFC-218 (Perfluoropropane),2017,General Motors Components Holdings LLC,0.2421,76-19-7
C3F8,1011887,,,,,PFC-218 (Perfluoropropane),2017,Renesas Electronics America Inc.,0.1969,76-19-7
C3H2F6,1004325,,,,,HFC-236fa,2017,"MICRON TECHNOLOGY, INC.",0.0019,690-39-1
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1000354,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,SKYWATER TECHNOLOGY INC,0.2327,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1003726,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,2.9175,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1003945,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,TEXAS INSTRUMENTS NORTH CAMPUS,0.0335,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1003997,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,INTEL CORPORATION - RIO RANCHO FACILITY,0.5,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1004006,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,INTEL CORPORATION RONLER ACRES CAMPUS,0.4,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1004325,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,"MICRON TECHNOLOGY, INC.",0.5106,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1004371,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,INTEL CORPORATION - Ocotillo Campus,0.174,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1008059,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,Texas Instruments Richardson,0.03,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1009606,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,INTEL CORPORATION ALOHA CAMPUS,1.17,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1009805,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,"Micron Technology, Inc.",0.1752,"163702-05-4, 163702-06-5"
"C4F9OC2H5, (CF3)2CFCF2OC2H5",1009928,,,,,"HFE-569sf2, (HFE-7200) Isomer blend",2017,TSI SEMICONDUCTORS LLC,0.241,"163702-05-4, 163702-06-5"
