FACILITY_ID,MSHA_IDENTIFICATION_NUMBER,REPORTING_YEAR,FACILITY_NAME,GHG_QUANTITY,GHG_NAME
1001682,503836,2017,TWENTYMILE MINE,0.0,CARBON DIOXIDE
1001682,503836,2017,TWENTYMILE MINE,1295.93,METHANE
1001684,1202295,2017,FRANCISCO UNDERGROUND MINE,0.0,CARBON DIOXIDE
1001684,1202295,2017,FRANCISCO UNDERGROUND MINE,4967.97,METHANE
1001686,1103156,2017,WILDCAT HILLS MINE,0.0,CARBON DIOXIDE
1001686,1103156,2017,WILDCAT HILLS MINE,4862.43,METHANE
1001687,15-09636,2017,BLUE DIAMOND MINING MINE 77,0.0,CARBON DIOXIDE
1001687,15-09636,2017,BLUE DIAMOND MINING MINE 77,1271.3,METHANE
1001887,11-03193,2017,PRAIRIE STATE GENERATING STATION,0.0,CARBON DIOXIDE
1001887,11-03193,2017,PRAIRIE STATE GENERATING STATION,2591.78,METHANE
1003058,M85951826,2017,OAKTOWN FUELS MINE NO.1,0.0,CARBON DIOXIDE
1003058,M85951826,2017,OAKTOWN FUELS MINE NO.1,23218.89,METHANE
1003751,M85951826,2017,CARLISLE MINE,0.0,CARBON DIOXIDE
1003751,M85951826,2017,CARLISLE MINE,7976.94,METHANE
1004421,33-00968,2017,HOPEDALE MINING LLC,0.0,CARBON DIOXIDE
1004421,33-00968,2017,HOPEDALE MINING LLC,4869.36,METHANE
1004512,01-00851,2017,OAK GROVE MINE,0.0,CARBON DIOXIDE
1004512,01-00851,2017,OAK GROVE MINE,28788.43,METHANE
1004677,4601816,2017,PINNACLE MINING CO LLC - PINNACLE MINE,0.0,CARBON DIOXIDE
1004677,4601816,2017,PINNACLE MINING CO LLC - PINNACLE MINE,34965.91,METHANE
1005761,3607230,2017,BAILEY MINE-CRABAPPLE PORTAL,5601.1,CARBON DIOXIDE
1005761,3607230,2017,BAILEY MINE-CRABAPPLE PORTAL,95671.31,METHANE
1005764,4601968,2017,MONONGALIA COUNTY MINE,0.0,CARBON DIOXIDE
1005764,4601968,2017,MONONGALIA COUNTY MINE,75832.26,METHANE
1006582,M26850508,2017,CRAWDAD NO. 1 MINE,0.0,CARBON DIOXIDE
1006582,M26850508,2017,CRAWDAD NO. 1 MINE,1444.43,METHANE
1007168,1519535,2017,GENESIS MINE,0.0,CARBON DIOXIDE
1007168,1519535,2017,GENESIS MINE,3661.2,METHANE
1007174,46-05252,2017,"ICG BECKLEY, LLC",0.0,CARBON DIOXIDE
1007174,46-05252,2017,"ICG BECKLEY, LLC",34970.69,METHANE
1007408,M26850508,2017,4 WEST MINE,0.0,CARBON DIOXIDE
1007408,M26850508,2017,4 WEST MINE,6196.93,METHANE
1007472,M36114890,2017,LEER SOUTH MINING COMPLEX,0.0,CARBON DIOXIDE
1007472,M36114890,2017,LEER SOUTH MINING COMPLEX,22377.73,METHANE
1007528,15-18575,2017,"MATRIX ENERGY, LLC",0.0,CARBON DIOXIDE
1007528,15-18575,2017,"MATRIX ENERGY, LLC",2047.72,METHANE
1008387,4404856,2017,BUCHANAN MINE #1,0.0,CARBON DIOXIDE
1008387,4404856,2017,BUCHANAN MINE #1,61456.48,METHANE
1008388,11-02664,2017,VIPER MINE,0.0,CARBON DIOXIDE
1008388,11-02664,2017,VIPER MINE,2594.87,METHANE
1008757,3607416,2017,ENLOW FORK MINE,0.0,CARBON DIOXIDE
1008757,3607416,2017,ENLOW FORK MINE,91678.03,METHANE
1008760,4601433,2017,MARION COUNTY MINE,0.0,CARBON DIOXIDE
1008760,4601433,2017,MARION COUNTY MINE,89542.26,METHANE
1008761,4601437,2017,MARSHALL COUNTY MINE,0.0,CARBON DIOXIDE
1008761,4601437,2017,MARSHALL COUNTY MINE,79862.82,METHANE
1008764,4601318,2017,HARRISON COUNTY MINE,0.0,CARBON DIOXIDE
1008764,4601318,2017,HARRISON COUNTY MINE,58893.46,METHANE
1008766,4601436,2017,OHIO COUNTY MINE,0.0,CARBON DIOXIDE
1008766,4601436,2017,OHIO COUNTY MINE,31705.59,METHANE
1009342,2902170,2017,SAN JUAN MINE,0.0,CARBON DIOXIDE
1009342,2902170,2017,SAN JUAN MINE,27992.53,METHANE
1009600,01-02901,2017,SHOAL CREEK MINE,0.0,CARBON DIOXIDE
1009600,01-02901,2017,SHOAL CREEK MINE,21821.92,METHANE
1009746,44-070052,2017,REVELATION-DORCHESTER MINE #4,0.0,CARBON DIOXIDE
1009746,44-070052,2017,REVELATION-DORCHESTER MINE #4,1700.81,METHANE
