UNIT_TYPE,BIOMASS_N2O_EMISSIONS_FACTOR,FACILITY_ID,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,REPORTING_YEAR,FACILITY_NAME,BIOMASS_CH4_EMISSIONS_FACTOR,SPENT_LIQUOR_N2O_EMISSIONS,SPENT_LIQUOR_CO2_EMISSIONS
Chemical Recovery Combustion Unit,0.00042,1000273,1.32,REC 13,2017,"GP Big Island, LLC",0.0019,0.291,72178.2
Chemical Recovery Combustion Unit,0.00042,1000353,0.16,Chemical Recovery Kiln,2017,Sonoco Products Co.,0.0019,0.035,8773.2
Chemical Recovery Combustion Unit,0.00042,1001906,8.0,Recovery Boiler,2017,RAYONIER PERFORMANCE FIBERS LLC Fernandina Mill,0.0019,1.767,368186.2
Chemical Recovery Combustion Unit,0.00042,1003419,0.0,N001,2017,"WestRock CP, LLC",0.0019,0.0,0.0
Chemical Recovery Combustion Unit,0.00042,1003884,1.18,B25,2017,PACKAGING CORPORATION OF AMERICA-TOMAHAWK,0.0019,0.261,65020.6
Chemical Recovery Combustion Unit,0.00042,1003943,1.05,Recovery Boiler,2017,GREIF RIVERVILLE LLC,0.0019,0.231,58638.1
Chemical Recovery Combustion Unit,0.00042,1006367,1.08,EUCOPELAND,2017,PACKAGING CORPORATION OF AMERICA,0.0019,0.239,34823.1
Chemical Recovery Combustion Unit,0.00042,1008999,2.29,RB3,2017,Cosmopolis Pulp Mill,0.0019,0.506,104311.6
Chemical Recovery Combustion Unit,0.00042,1008999,3.07,RB2,2017,Cosmopolis Pulp Mill,0.0019,0.679,140023.4
Chemical Recovery Combustion Unit,0.00042,1008999,3.29,RB1,2017,Cosmopolis Pulp Mill,0.0019,0.728,150165.1
Chemical Recovery Furnace,0.00042,1000166,13.04,08-PU-012,2017,"WestRock Kraft Paper, LLC",0.0019,2.882,647675.3
Chemical Recovery Furnace,0.00042,1000183,10.98,B011,2017,Pixelle Specialty Solutions LLC,0.0019,2.428,542036.1
Chemical Recovery Furnace,0.00042,1000196,9.93,#1 Recovery Boiler,2017,International Paper - Pensacola Mill,0.0019,2.195,493451.7
Chemical Recovery Furnace,0.00042,1000196,10.09,No. 2 Recovery Boiler,2017,International Paper - Pensacola Mill,0.0019,2.231,501430.4
Chemical Recovery Furnace,0.00042,1000228,15.02,Recovery Furnace,2017,International Paper - New Bern Mill,0.0019,3.32,746222.7
Chemical Recovery Furnace,0.00042,1000229,20.83,No. 5 Recovery Furnace,2017,Domtar Paper Company LLC - Plymouth,0.0019,4.605,1034916.6
Chemical Recovery Furnace,0.00042,1000230,10.45,Recovery Furnace No.10,2017,Blue Ridge Paper Products LLC,0.0019,2.31,516980.0
