TIER_1_METHOD_EQUATION,TIER_1_CO2_EMISSIONS,TIER_3_CH4_EMISSIONS,TIER_3_N2O_EMISSIONS,TIER_1_CH4_EMISSIONS,TIER_3_CO2_EMISSIONS,PCT_HEAT_INPUT_COMBUSTED_SUB,TIER3_MOL_DETERMIN_NUMBER,TIER_2_END_DATE,TIER_3_METHOD_EQUATION,TIER_3_START_DATE,FUEL_TYPE_BLEND,UNIT_NAME,TIER_1_N2O_EMISSIONS,REPORTING_YEAR,TIER3_MOL_DETERMIN_FREQ,PCT_HEAT_INPUT_COMBUSTED,TIER_2_START_DATE,TIER3_CARBON_DETERMIN_NUM_VALI,TIER_1_CH4_EMISSIONS_CO2E,TIER_1_N2O_EMISSIONS_CO2E,TIER_2_HHV_DETERMIN_FREQUENCY,TIER3_CARBON_DETERMIN_FREQUENC,TIER_3_CH4_EMISSIONS_CO2E,TIER_2_CH4_EMISSIONS,TIER_2_CH4_EMISSIONS_CO2E,TIER_2_METHOD_EQUATION,TIER_2_N2O_EMISSIONS_CO2E,TIER3_MOL_DETERMIN_NUM_VALID,TIER2_HHV_DETERMIN_FREQ_OTH,PCT_HEAT_INPUT_COMBUSTED_IND,FACILITY_NAME,TIER3_CARBON_DETERMIN_NUM_SUB,TIER_2_CO2_EMISSIONS,TIER_3_END_DATE,TIER_3_OPERATING_HOURS_SUB,TIER_1_START_DATE,TIER_3_N2O_EMISSIONS_CO2E,FACILITY_ID,TIER3_MOL_DETERMIN_FREQ_OTHER,FUEL_TYPE,TIER_1_END_DATE,TIER_2_N2O_EMISSIONS
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,Lime Kiln,0.0,2017,,0.0,,,0.0,0.0,,,,,,,,,,,"Domtar Paper Company, LLC",,,,,2017-01-01-00:0,,1005706,,Distillate Fuel Oil No. 2,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,Lime Kiln,0.0,2017,,0.0,,,0.0,0.0,,,,,,,,,,,International Paper - New Bern Mill,,,,,2017-01-01-00:0,,1000228,,Residual Fuel Oil No. 6,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,Lime Kiln (P30),0.0,2017,,1.0,,,0.0,0.0,,,,,,,,,,,WISCONSIN RAPIDS PAPER MILL,,,,,2017-01-01-00:0,,1004874,,Distillate Fuel Oil No. 2,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,Lime Kiln (U800),0.0,2017,,0.0,,,0.0,0.0,,,,,,,,,,,International Paper - Flint River Mill,,,,,2017-01-01-00:0,,1006209,,Distillate Fuel Oil No. 2,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,LK01,0.0,2017,,0.0,,,0.0,0.0,,,,,,,,,,,International Paper-Port Wentworth,,,,,2017-01-01-00:0,,1004901,,Distillate Fuel Oil No. 2,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,LK (1224-06-06),0.0,2017,,1.0,,,0.0,0.0,,,,,,,,,,,International Paper - Red River Mill,,,,,2017-01-01-00:0,,1001733,,Petroleum Coke,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,LK1 (AA003),0.0,2017,,0.0,,,0.0,0.0,,,,,,,,,,,International Paper - Vicksburg Mill,,,,,2017-01-01-00:0,,1000434,,Petroleum Coke,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,No. 18 Recovery Furnace / 1246-10,0.0,2017,,,,,0.0,0.0,,,,,,,,,,,WESTROCK LONGVIEW LLC,,,,,2017-01-01-00:0,,1006454,,Natural Gas (Weighted U.S. Average),2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,No. 1 Lime Kiln,0.0,2017,,0.0,,,0.0,0.0,,,,,,,,,,,International Paper - Georgetown Mill,,,,,2017-01-01-00:0,,1007912,,Residual Fuel Oil No. 6,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,No. 2 Lime Kiln,0.0,2017,,0.0,,,0.0,0.0,,,,,,,,,,,International Paper - Georgetown Mill,,,,,2017-01-01-00:0,,1007912,,Residual Fuel Oil No. 6,2017-12-31-00:0,
Tier 1 (Equation C-1),0.0,,,0.0,,,,,,,,Recovery Boiler #1 (P39),0.0,2017,,,,,0.0,0.0,,,,,,,,,,,WISCONSIN RAPIDS PAPER MILL,,,,,2017-01-01-00:0,,1004874,,Distillate Fuel Oil No. 2,2017-12-31-00:0,
